"collection","scope","config","exit_code","assertions_total","assertions_failed","assertions_passed","duration_ms"
"travelhub-notifications-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","3005"
"travelhub-notifications.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","5","0","5","509"
"travelhub-payments-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","15","0","15","2993"
"travelhub-payments.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","1","27","2","25","1811"
"travelhub-payments-stripe-evidence.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","8","0","8","286"
"travelhub-properties-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","1194"
"travelhub-reservations-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","1","35","3","32","2042"
"travelhub-search-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","1164"
"travelhub-security-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","3","0","3","1528"
"travelhub-users-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","2","0","2","226"
"travelhub-payments-reservations-e2e.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","0","17","0","17","2031"
"reservation_modification_cancellation_refunds.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","1","31","2","29","2919"
"travelhub-reservation-payment-failure-checkstatus-e2e.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","0","12","0","12","589"
"reservations_checkstatus.postman_collection.json","e2e","vars:base_url=http://localhost:8002;INTERNAL_API_KEY=travelhub-internal-secret-key","0","12","0","12","586"
"search_p95.postman_collection.json","perf","vars:base_url=http://localhost:8006;iteration-count=130","0","131","0","131","11754"
