"collection","scope","config","exit_code","assertions_total","assertions_failed","assertions_passed","duration_ms"
"travelhub-inventory-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","7","0","7","484"
"travelhub-notifications-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","423"
"travelhub-notifications.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","5","0","5","383"
"travelhub-payments-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","15","0","15","1043"
"travelhub-payments.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","27","0","27","1062"
"travelhub-payments-stripe-evidence.postman_collection.json","functional","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","8","0","8","298"
"travelhub-privacy-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","14","0","14","456"
"travelhub-properties-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","365"
"seasonal-pricing-signed.postman_collection.json","functional","env:postman/environments/travelhub-properties-seasonal-pricing-local.postman_environment.json","0","22","0","22","7270"
"travelhub-reservations-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","36","0","36","1838"
"travelhub-search-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","6","0","6","307"
"travelhub-security-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","3","0","3","326"
"travelhub-users-contract.postman_collection.json","contract","env:postman/environments/travelhub-microservices-local.postman_environment.json","0","2","0","2","218"
"travelhub-payments-reservations-e2e.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","0","17","0","17","1073"
"e2e-signature-integrity.postman_collection.json","e2e","env:postman/environments/travelhub-properties-seasonal-pricing-local.postman_environment.json","0","29","0","29","5427"
"reservation_modification_cancellation_refunds.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","0","32","0","32","2174"
"travelhub-reservation-payment-failure-checkstatus-e2e.postman_collection.json","e2e","env:postman/environments/travelhub-payments-reservations-local.postman_environment.json","0","12","0","12","572"
"reservations_checkstatus.postman_collection.json","e2e","vars:base_url=http://localhost:8002;INTERNAL_API_KEY=travelhub-internal-secret-key","0","12","0","12","560"
"search_p95.postman_collection.json","perf","vars:base_url=http://localhost:8006;iteration-count=130","0","131","0","131","11937"
